id;idAlbum;duracion;nombre;ruta128;ruta320
1001;101;235.0;Whenever Wherever;C:/128/shakira_1.ogg;C:/320/shakira_1.ogg
1002;101;220.0;Underneath Your Clothes;C:/128/shakira_2.ogg;C:/320/shakira_2.ogg
1003;101;245.0;Te Dejo Madrid;C:/128/shakira_3.ogg;C:/320/shakira_3.ogg
1004;101;210.0;Objection (Tango);C:/128/shakira_4.ogg;C:/320/shakira_4.ogg
1005;102;205.0;HP;C:/128/maluma_1.ogg;C:/320/maluma_1.ogg
1006;102;210.0;11 PM;C:/128/maluma_2.ogg;C:/320/maluma_2.ogg
1007;102;195.0;No Se Me Quita;C:/128/maluma_3.ogg;C:/320/maluma_3.ogg
1008;102;225.0;Dispuesto;C:/128/maluma_4.ogg;C:/320/maluma_4.ogg
1009;103;215.0;Provenza;C:/128/karolg_1.ogg;C:/320/karolg_1.ogg
1010;103;230.0;TQG;C:/128/karolg_2.ogg;C:/320/karolg_2.ogg
1011;103;220.0;Mientras Me Curo del Cora;C:/128/karolg_3.ogg;C:/320/karolg_3.ogg
1012;103;205.0;Gatubela;C:/128/karolg_4.ogg;C:/320/karolg_4.ogg
1013;104;190.0;Amarillo;C:/128/jbalvin_1.ogg;C:/320/jbalvin_1.ogg
1014;104;185.0;Azul;C:/128/jbalvin_2.ogg;C:/320/jbalvin_2.ogg
1015;104;200.0;Rojo;C:/128/jbalvin_3.ogg;C:/320/jbalvin_3.ogg
1016;104;195.0;Arcoíris;C:/128/jbalvin_4.ogg;C:/320/jbalvin_4.ogg
1017;105;250.0;Titi Me Pregunto;C:/128/badbunny_1.ogg;C:/320/badbunny_1.ogg
1018;105;245.0;Me Porto Bonito;C:/128/badbunny_2.ogg;C:/320/badbunny_2.ogg
1019;105;235.0;Efecto;C:/128/badbunny_3.ogg;C:/320/badbunny_3.ogg
1020;105;240.0;Ojitos Lindos;C:/128/badbunny_4.ogg;C:/320/badbunny_4.ogg
1021;106;230.0;De Carolina;C:/128/rauw_1.ogg;C:/320/rauw_1.ogg
1022;106;225.0;Punto 40;C:/128/rauw_2.ogg;C:/320/rauw_2.ogg
1023;106;235.0;Lejos del Cielo;C:/128/rauw_3.ogg;C:/320/rauw_3.ogg
1024;106;220.0;Dile a Él;C:/128/rauw_4.ogg;C:/320/rauw_4.ogg
1025;107;220.0;A Dios le Pido;C:/128/juanes_1.ogg;C:/320/juanes_1.ogg
1026;107;215.0;La Camisa Negra;C:/128/juanes_2.ogg;C:/320/juanes_2.ogg
1027;107;230.0;Es Por Ti;C:/128/juanes_3.ogg;C:/320/juanes_3.ogg
1028;107;225.0;Mala Gente;C:/128/juanes_4.ogg;C:/320/juanes_4.ogg
1029;108;210.0;Tacones Rojos;C:/128/yatra_1.ogg;C:/320/yatra_1.ogg
1030;108;205.0;Pareja del Año;C:/128/yatra_2.ogg;C:/320/yatra_2.ogg
1031;108;215.0;Chica Ideal;C:/128/yatra_3.ogg;C:/320/yatra_3.ogg
1032;108;200.0;Adiós;C:/128/yatra_4.ogg;C:/320/yatra_4.ogg
1033;109;205.0;Tutu;C:/128/camilo_1.ogg;C:/320/camilo_1.ogg
1034;109;195.0;Favorito;C:/128/camilo_2.ogg;C:/320/camilo_2.ogg
1035;109;210.0;Por Primera Vez;C:/128/camilo_3.ogg;C:/320/camilo_3.ogg
1036;109;200.0;Medialuna;C:/128/camilo_4.ogg;C:/320/camilo_4.ogg
1037;110;215.0;For Sale;C:/128/vives_1.ogg;C:/320/vives_1.ogg
1038;110;220.0;No Te Vayas;C:/128/vives_2.ogg;C:/320/vives_2.ogg
1039;110;210.0;Las Locuras Mías;C:/128/vives_3.ogg;C:/320/vives_3.ogg
1040;110;225.0;Hechicera;C:/128/vives_4.ogg;C:/320/vives_4.ogg
1041;111;200.0;Nina Bonita;C:/128/feid_1.ogg;C:/320/feid_1.ogg
1042;111;195.0;Normal;C:/128/feid_2.ogg;C:/320/feid_2.ogg
1043;111;205.0;Ferxxo 100;C:/128/feid_3.ogg;C:/320/feid_3.ogg
1044;111;210.0;Belixe;C:/128/feid_4.ogg;C:/320/feid_4.ogg
1045;112;230.0;Eres Mi Sueño;C:/128/fonseca_1.ogg;C:/320/fonseca_1.ogg
1046;112;225.0;Te Mando Flores;C:/128/fonseca_2.ogg;C:/320/fonseca_2.ogg
1047;112;235.0;Hace Tiempo;C:/128/fonseca_3.ogg;C:/320/fonseca_3.ogg
1048;112;220.0;Arroyito;C:/128/fonseca_4.ogg;C:/320/fonseca_4.ogg
1049;113;210.0;La Bachata;C:/128/turizo_1.ogg;C:/320/turizo_1.ogg
1050;113;205.0;Una Lady Como Tú;C:/128/turizo_2.ogg;C:/320/turizo_2.ogg
1051;113;215.0;Esperándote;C:/128/turizo_3.ogg;C:/320/turizo_3.ogg
1052;113;200.0;Déjate Llevar;C:/128/turizo_4.ogg;C:/320/turizo_4.ogg
1053;114;195.0;506;C:/128/morat_1.ogg;C:/320/morat_1.ogg
1054;114;200.0;Paris;C:/128/morat_2.ogg;C:/320/morat_2.ogg
1055;114;205.0;Debí Suponerlo;C:/128/morat_3.ogg;C:/320/morat_3.ogg
1056;114;210.0;No Se Va;C:/128/morat_4.ogg;C:/320/morat_4.ogg
1057;115;190.0;Saoko;C:/128/rosalia_1.ogg;C:/320/rosalia_1.ogg
1058;115;195.0;Candy;C:/128/rosalia_2.ogg;C:/320/rosalia_2.ogg
1059;115;200.0;La Fama;C:/128/rosalia_3.ogg;C:/320/rosalia_3.ogg
1060;115;205.0;Chicken Teriyaki;C:/128/rosalia_4.ogg;C:/320/rosalia_4.ogg
1061;116;245.0;Se Preparó;C:/128/ozuna_1.ogg;C:/320/ozuna_1.ogg
1062;116;240.0;Te Boté;C:/128/ozuna_2.ogg;C:/320/ozuna_2.ogg
1063;116;235.0;El Farsante;C:/128/ozuna_3.ogg;C:/320/ozuna_3.ogg
1064;116;230.0;La Modelo;C:/128/ozuna_4.ogg;C:/320/ozuna_4.ogg
1065;117;250.0;Gasolina;C:/128/daddy_1.ogg;C:/320/daddy_1.ogg
1066;117;245.0;Rompe;C:/128/daddy_2.ogg;C:/320/daddy_2.ogg
1067;117;240.0;Lo Que Pasó, Pasó;C:/128/daddy_3.ogg;C:/320/daddy_3.ogg
1068;117;235.0;Sígueme y Te Sigo;C:/128/daddy_4.ogg;C:/320/daddy_4.ogg
1069;118;220.0;El Perdón;C:/128/nicky_1.ogg;C:/320/nicky_1.ogg
1070;118;215.0;Travesuras;C:/128/nicky_2.ogg;C:/320/nicky_2.ogg
1071;118;225.0;X;C:/128/nicky_3.ogg;C:/320/nicky_3.ogg
1072;118;230.0;El Amante;C:/128/nicky_4.ogg;C:/320/nicky_4.ogg
1073;119;200.0;Me Gusta;C:/128/anitta_1.ogg;C:/320/anitta_1.ogg
1074;119;195.0;Envolver;C:/128/anitta_2.ogg;C:/320/anitta_2.ogg
1075;119;205.0;Girl From Rio;C:/128/anitta_3.ogg;C:/320/anitta_3.ogg
1076;119;210.0;Used to Be;C:/128/anitta_4.ogg;C:/320/anitta_4.ogg
1077;120;245.0;María;C:/128/ricky_1.ogg;C:/320/ricky_1.ogg
1078;120;240.0;Livin' la Vida Loca;C:/128/ricky_2.ogg;C:/320/ricky_2.ogg
1079;120;235.0;Vuelve;C:/128/ricky_3.ogg;C:/320/ricky_3.ogg
1080;120;230.0;The Cup of Life;C:/128/ricky_4.ogg;C:/320/ricky_4.ogg
1081;121;220.0;Don't Start Now;C:/128/dualipa_1.ogg;C:/320/dualipa_1.ogg
1082;121;215.0;Physical;C:/128/dualipa_2.ogg;C:/320/dualipa_2.ogg
1083;121;225.0;Levitating;C:/128/dualipa_3.ogg;C:/320/dualipa_3.ogg
1084;121;230.0;Break My Heart;C:/128/dualipa_4.ogg;C:/320/dualipa_4.ogg
1085;122;235.0;Shake It Off;C:/128/taylor_1.ogg;C:/320/taylor_1.ogg
1086;122;240.0;Blank Space;C:/128/taylor_2.ogg;C:/320/taylor_2.ogg
1087;122;230.0;Bad Blood;C:/128/taylor_3.ogg;C:/320/taylor_3.ogg
1088;122;225.0;Style;C:/128/taylor_4.ogg;C:/320/taylor_4.ogg
1089;123;245.0;Bad Guy;C:/128/billie_1.ogg;C:/320/billie_1.ogg
1090;123;240.0;When the Party's Over;C:/128/billie_2.ogg;C:/320/billie_2.ogg
1091;123;235.0;All the Good Girls;C:/128/billie_3.ogg;C:/320/billie_3.ogg
1092;123;230.0;Wish You Were Gay;C:/128/billie_4.ogg;C:/320/billie_4.ogg
1093;124;250.0;Shape of You;C:/128/edsheeran_1.ogg;C:/320/edsheeran_1.ogg
1094;124;245.0;Castle on the Hill;C:/128/edsheeran_2.ogg;C:/320/edsheeran_2.ogg
1095;124;240.0;Galway Girl;C:/128/edsheeran_3.ogg;C:/320/edsheeran_3.ogg
1096;124;235.0;Perfect;C:/128/edsheeran_4.ogg;C:/320/edsheeran_4.ogg
1097;125;220.0;24K Magic;C:/128/bruno_1.ogg;C:/320/bruno_1.ogg
1098;125;215.0;That's What I Like;C:/128/bruno_2.ogg;C:/320/bruno_2.ogg
1099;125;225.0;Versace on the Floor;C:/128/bruno_3.ogg;C:/320/bruno_3.ogg
1100;125;230.0;Chunky;C:/128/bruno_4.ogg;C:/320/bruno_4.ogg
1101;126;235.0;Blinding Lights;C:/128/weeknd_1.ogg;C:/320/weeknd_1.ogg
