idCancion;idCredito
1001;3
1001;5
1002;7
1003;2
1004;5
1005;1
1005;6
1006;1
1007;3
1008;5
1009;2
1010;13
1011;19
1012;4
1013;7
1014;8
1015;15
1016;6
1017;4
1018;2
1019;9
1020;10
1021;11
1022;12
1023;14
1024;16
1025;17
1026;18
1027;19
1028;20
1029;21
1030;22
1031;23
1032;24
1033;25
1034;26
1035;27
1036;28
1037;29
1038;30
1039;31
1040;32
1041;33
1042;34
1043;35
1044;36
1045;37
1046;38
1047;39
1048;40
1049;41
1050;42
1051;43
1052;44
1053;45
1054;46
1055;47
1056;48
1057;49
1058;50
1059;1
1060;2
1061;3
1062;4
1063;5
1064;6
1065;7
1066;8
1067;9
1068;10
1069;11
1070;12
1071;13
1072;14
1073;15
1074;16
1075;17
1076;18
1077;19
1078;20
1079;21
1080;22
1081;23
1082;24
1083;25
1084;26
1085;27
1086;28
1087;29
1088;30
1089;31
1090;32
1091;33
1092;34
1093;35
1094;36
1095;37
1096;38
1097;39
1098;40
1099;41
1100;42
1101;43
1102;44
1103;45
1104;46
1105;47
1106;48
1107;49
1108;50
1109;1
1110;2
1111;3
1112;4
1113;5
1114;6
1115;7
1116;8
1117;9
1118;10
1119;11
1120;12
1121;13
1122;14
1123;15
1124;16
1125;17
1126;18
1127;19
1128;20
1129;21
1130;22
1131;23
1132;24
1133;25
1134;26
1135;27
1136;28
1137;29
1138;30
1139;31
1140;32
1141;33
1142;34
1143;35
1144;36
1145;37
1146;38
1147;39
1148;40
1149;41
1150;42
1151;43
1152;44
1153;45
1154;46
1155;47
1156;48
1157;49
1158;50
1159;1
1160;2
1161;3
1162;4
1163;5
1164;6
1165;7
1166;8
1167;9
1168;10
1169;11
1170;12
1171;13
1172;14
1173;15
1174;16
1175;17
1176;18
1177;19
1178;20
1179;21
1180;22
1181;23
1182;24
1183;25
1184;26
1185;27
1186;28
1187;29
1188;30
1189;31
1190;32
1191;33
1192;34
1193;35
1194;36
1195;37
1196;38
1197;39
1198;40
1199;41
1200;42
